I0708 02:04:46.356845       1 azuredisk.go:65] 
DRIVER INFORMATION:
-------------------
Build Date: "2019-04-15T07:48:30Z"
Compiler: gc
Driver Name: disk.csi.azure.com
Driver Version: v0.2.0-alpha
Git Commit: eb37d28331fc88d4021bda2567c0ae6092aa016c
Go Version: go1.12.1
Platform: linux/amd64
Topology Key: topology.disk.csi.azure.com/zone

Streaming logs below:
I0708 02:09:39.452211       1 controllerserver.go:352] ControllerUnpublishVolume: called with args {VolumeId:/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d NodeId:aks-agentpool-41197296-0 Secrets:map[] XXX_NoUnkeyedLiteral:{} XXX_unrecognized:[] XXX_sizecache:0}
I0708 02:09:39.452246       1 expiration_cache.go:98] Entry InstanceMetadata: &{key:InstanceMetadata data:0xc000673cd0 lock:{state:0 sema:0}} has expired
I0708 02:09:39.457483       1 hashed.go:47] hashedKeyMutex.LockKey(...) called for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0"
I0708 02:09:39.457529       1 hashed.go:49] hashedKeyMutex.LockKey(...) for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0" completed.
I0708 02:09:39.457618       1 controllerserver.go:381] Trying to detach volume /subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d from node aks-agentpool-41197296-0
I0708 02:09:39.551551       1 azure_controller_standard.go:122] azureDisk - detach disk: name "pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d" uri "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d"
I0708 02:09:39.551585       1 azure_controller_standard.go:142] azureDisk - update(MC_andy-virtualnode_andy-virtualnode_eastus2): vm(aks-agentpool-41197296-0) - detach disk(pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d)
I0708 02:09:41.778693       1 utils.go:106] GRPC call: /csi.v1.Identity/GetPluginCapabilities
I0708 02:09:41.778708       1 utils.go:107] GRPC request: 
I0708 02:09:41.778798       1 identityserver.go:59] Using default capabilities
I0708 02:09:41.778805       1 utils.go:112] GRPC response: capabilities:<service:<type:CONTROLLER_SERVICE > > 
I0708 02:09:41.779255       1 utils.go:106] GRPC call: /csi.v1.Controller/ControllerGetCapabilities
I0708 02:09:41.779264       1 utils.go:107] GRPC request: 
I0708 02:09:41.779290       1 controllerserver.go:419] Using default ControllerGetCapabilities
I0708 02:09:41.779295       1 utils.go:112] GRPC response: capabilities:<rpc:<type:CREATE_DELETE_VOLUME > > capabilities:<rpc:<type:PUBLISH_UNPUBLISH_VOLUME > > 
I0708 02:09:41.779729       1 utils.go:106] GRPC call: /csi.v1.Identity/GetPluginInfo
I0708 02:09:41.779736       1 utils.go:107] GRPC request: 
I0708 02:09:41.779756       1 identityserver.go:33] Using default GetPluginInfo
I0708 02:09:41.779760       1 utils.go:112] GRPC response: name:"disk.csi.azure.com" vendor_version:"v0.2.0-alpha" 
I0708 02:09:41.787775       1 utils.go:106] GRPC call: /csi.v1.Controller/DeleteVolume
I0708 02:09:41.787786       1 utils.go:107] GRPC request: volume_id:"/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d" 
I0708 02:09:41.787824       1 controllerserver.go:250] deleting azure disk(/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d)
E0708 02:09:42.024138       1 utils.go:110] GRPC error: armcompute.DisksClient#Delete: Failure sending request: StatusCode=0 -- Original Error: autorest/azure: Service returned an error. Status=<nil> Code="OperationNotAllowed" Message="Disk pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d is attached to VM /subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0."
I0708 02:09:49.141968       1 utils.go:106] GRPC call: /csi.v1.Identity/Probe
I0708 02:09:49.142137       1 utils.go:107] GRPC request: 
I0708 02:09:49.142212       1 utils.go:112] GRPC response: ready:<value:true > 
I0708 02:09:57.036968       1 utils.go:106] GRPC call: /csi.v1.Identity/GetPluginCapabilities
I0708 02:09:57.036997       1 utils.go:107] GRPC request: 
I0708 02:09:57.037279       1 identityserver.go:59] Using default capabilities
I0708 02:09:57.037287       1 utils.go:112] GRPC response: capabilities:<service:<type:CONTROLLER_SERVICE > > 
I0708 02:09:57.037648       1 utils.go:106] GRPC call: /csi.v1.Controller/ControllerGetCapabilities
I0708 02:09:57.037665       1 utils.go:107] GRPC request: 
I0708 02:09:57.037759       1 controllerserver.go:419] Using default ControllerGetCapabilities
I0708 02:09:57.037922       1 utils.go:112] GRPC response: capabilities:<rpc:<type:CREATE_DELETE_VOLUME > > capabilities:<rpc:<type:PUBLISH_UNPUBLISH_VOLUME > > 
I0708 02:09:57.038357       1 utils.go:106] GRPC call: /csi.v1.Identity/GetPluginInfo
I0708 02:09:57.038372       1 utils.go:107] GRPC request: 
I0708 02:09:57.038396       1 identityserver.go:33] Using default GetPluginInfo
I0708 02:09:57.038401       1 utils.go:112] GRPC response: name:"disk.csi.azure.com" vendor_version:"v0.2.0-alpha" 
I0708 02:09:57.046245       1 utils.go:106] GRPC call: /csi.v1.Controller/DeleteVolume
